"last_date","today_ok","no","no_","username_nl","followers","increase_nl","location","___newsletter_text___","username","increase","one_tw_username","one_favorite","one_followers_count","one_created_at","two_tw_username","two_favorite","two_followers_count","two_created_at","diff_last_7_days"
2022-05-28,1,1941,1941.|,@xjonkuch,[21K],|+554,(Deutschland),1941. @xjonkuch [21K] ⏫  |+554 (Deutschland) ,@xjonkuch,|+554,xjonkuch,1,20765,2022-05-21 02:00:00.000,xjonkuch,1,21319,2022-05-28 02:00:00.000,554
2022-05-28,1,1942,1942.|,@ken_tooth079,[195K],|+554,(🇱🇺 The Netherlands),1942. @ken_tooth079 [195K] ⏫  |+554 (🇱🇺 The Netherlands) ,@ken_tooth079,|+554,ken_tooth079,1,194073,2022-05-21 02:00:00.000,ken_tooth079,1,194627,2022-05-28 02:00:00.000,554
2022-05-28,1,1943,1943.|,@pig_pharma,[50K],|+553,"(New Orleans, LA)","1943. @pig_pharma [50K] ⏫  |+553 (New Orleans, LA) ",@pig_pharma,|+553,pig_pharma,1,49224,2022-05-21 02:00:00.000,pig_pharma,1,49777,2022-05-28 02:00:00.000,553
2022-05-28,1,1944,1944.|,@kobyfalksxxx,[52K],|+553,(Australia),1944. @kobyfalksxxx [52K] ⏫  |+553 (Australia) ,@kobyfalksxxx,|+553,kobyfalksxxx,1,51263,2022-05-21 02:00:00.000,kobyfalksxxx,1,51816,2022-05-28 02:00:00.000,553
2022-05-28,1,1945,1945.|,@berlinloads,[64K],|+552,"(Berlin, Deutschland)","1945. @berlinloads [64K] ⏫  |+552 (Berlin, Deutschland) ",@berlinloads,|+552,berlinloads,1,63594,2022-05-21 02:00:00.000,berlinloads,1,64146,2022-05-28 02:00:00.000,552
2022-05-27,0,1946,1946.|,@pedromessina_,[202K],|+552,(Bottomland),1946. @pedromessina_ [202K] ⏫  |+552 (Bottomland) ,@pedromessina_,|+552,pedromessina_,1,200982,2022-05-21 02:00:00.000,pedromessina_,1,201534,2022-05-27 02:00:00.000,552
2022-05-28,1,1947,1947.|,@landanashb,[64K],|+552,"(Miami, FL)","1947. @landanashb [64K] ⏫  |+552 (Miami, FL) ",@landanashb,|+552,landanashb,1,63393,2022-05-21 02:00:00.000,landanashb,1,63945,2022-05-28 02:00:00.000,552
2022-05-28,1,1948,1948.|,@liamangellxxx,[98K],|+552,"(Rancho Mirage, CA)","1948. @liamangellxxx [98K] ⏫  |+552 (Rancho Mirage, CA) ",@liamangellxxx,|+552,liamangellxxx,1,97661,2022-05-21 02:00:00.000,liamangellxxx,1,98213,2022-05-28 02:00:00.000,552
2022-05-28,1,1949,1949.|,@dolfdietrich,[177K],|+552,"(Manhattan, NY)","1949. @dolfdietrich [177K] ⏫  |+552 (Manhattan, NY) ",@dolfdietrich,|+552,dolfdietrich,1,176008,2022-05-21 02:00:00.000,dolfdietrich,1,176560,2022-05-28 02:00:00.000,552
2022-05-28,1,1950,1950.|,@switchtwinkxl,[38K],|+550,,1950. @switchtwinkxl [38K] ⏫  |+550,@switchtwinkxl,|+550,switchtwinkxl,1,37442,2022-05-21 02:00:00.000,switchtwinkxl,1,37992,2022-05-28 02:00:00.000,550
2022-05-28,1,1951,1951.|,@dom_blan88,[34K],|+550,"(Austin, TX)","1951. @dom_blan88 [34K] ⏫  |+550 (Austin, TX) ",@dom_blan88,|+550,dom_blan88,1,33500,2022-05-21 02:00:00.000,dom_blan88,1,34050,2022-05-28 02:00:00.000,550
2022-05-28,1,1952,1952.|,@hotcuban23cm,[63K],|+549,"(Madrid, Comunidad de Madrid)","1952. @hotcuban23cm [63K] ⏫  |+549 (Madrid, Comunidad de Madrid) ",@hotcuban23cm,|+549,hotcuban23cm,1,62417,2022-05-21 02:00:00.000,hotcuban23cm,1,62966,2022-05-28 02:00:00.000,549
2022-05-28,1,1953,1953.|,@fuckermate_com,[225K],|+549,,1953. @fuckermate_com [225K] ⏫  |+549,@fuckermate_com,|+549,fuckermate_com,1,224038,2022-05-21 02:00:00.000,fuckermate_com,1,224587,2022-05-28 02:00:00.000,549
2022-05-28,1,1954,1954.|,@rashaythabody,[10K],|+548,"(CHARLOTTE, NC)","1954. @rashaythabody [10K] ⏫  |+548 (CHARLOTTE, NC) ",@rashaythabody,|+548,rashaythabody,1,9677,2022-05-21 02:00:00.000,rashaythabody,1,10225,2022-05-28 02:00:00.000,548
2022-05-28,1,1955,1955.|,@darylrichterxxx,[70K],|+547,"(Los Angeles, CA)","1955. @darylrichterxxx [70K] ⏫  |+547 (Los Angeles, CA) ",@darylrichterxxx,|+547,darylrichterxxx,1,69660,2022-05-21 02:00:00.000,darylrichterxxx,1,70207,2022-05-28 02:00:00.000,547
2022-05-28,1,1956,1956.|,@dadsmuscleboy,[19K],|+547,"(West Hollywood, CA)","1956. @dadsmuscleboy [19K] ⏫  |+547 (West Hollywood, CA) ",@dadsmuscleboy,|+547,dadsmuscleboy,1,18665,2022-05-21 02:00:00.000,dadsmuscleboy,1,19212,2022-05-28 02:00:00.000,547
2022-05-28,1,1957,1957.|,@loganaarons,[20K],|+546,(Chicago),1957. @loganaarons [20K] ⏫  |+546 (Chicago) ,@loganaarons,|+546,loganaarons,1,18986,2022-05-21 02:00:00.000,loganaarons,1,19532,2022-05-28 02:00:00.000,546
2022-05-28,1,1958,1958.|,@hannibaldamage,[172K],|+546,(Bookcamdamage@gmail.com),1958. @hannibaldamage [172K] ⏫  |+546 (Bookcamdamage@gmail.com) ,@hannibaldamage,|+546,hannibaldamage,1,171409,2022-05-21 02:00:00.000,hannibaldamage,1,171955,2022-05-28 02:00:00.000,546
2022-05-28,1,1959,1959.|,@josiah_hoffman1,[60K],|+546,"(State College, PA)","1959. @josiah_hoffman1 [60K] ⏫  |+546 (State College, PA) ",@josiah_hoffman1,|+546,josiah_hoffman1,1,59524,2022-05-21 02:00:00.000,josiah_hoffman1,1,60070,2022-05-28 02:00:00.000,546
2022-05-28,1,1960,1960.|,@jessejale,[25K],|+546,"(Manhattan, NY)","1960. @jessejale [25K] ⏫  |+546 (Manhattan, NY) ",@jessejale,|+546,jessejale,1,24468,2022-05-21 02:00:00.000,jessejale,1,25014,2022-05-28 02:00:00.000,546
2022-05-28,1,1961,1961.|,@maxence_hots,[39K],|+545,(France),1961. @maxence_hots [39K] ⏫  |+545 (France) ,@maxence_hots,|+545,maxence_hots,1,38906,2022-05-21 02:00:00.000,maxence_hots,1,39451,2022-05-28 02:00:00.000,545
2022-05-28,1,1962,1962.|,@mrmrmiles,[24K],|+545,"(Los Angeles, CA)","1962. @mrmrmiles [24K] ⏫  |+545 (Los Angeles, CA) ",@mrmrmiles,|+545,mrmrmiles,1,22956,2022-05-21 02:00:00.000,mrmrmiles,1,23501,2022-05-28 02:00:00.000,545
2022-05-28,1,1963,1963.|,@blackfrenchtips,[44K],|+544,"(Atlanta, GA)","1963. @blackfrenchtips [44K] ⏫  |+544 (Atlanta, GA) ",@blackfrenchtips,|+544,blackfrenchtips,1,43785,2022-05-21 02:00:00.000,blackfrenchtips,1,44329,2022-05-28 02:00:00.000,544
2022-05-28,1,1964,1964.|,@that_switch,[73K],|+544,"(Buenos Aires, Argentina)","1964. @that_switch [73K] ⏫  |+544 (Buenos Aires, Argentina) ",@that_switch,|+544,that_switch,1,72839,2022-05-21 02:00:00.000,that_switch,1,73383,2022-05-28 02:00:00.000,544
2022-05-28,1,1965,1965.|,@alt_dan_,[22K],|+541,"(Manhattan, NY)","1965. @alt_dan_ [22K] ⏫  |+541 (Manhattan, NY) ",@alt_dan_,|+541,alt_dan_,1,21067,2022-05-21 02:00:00.000,alt_dan_,1,21608,2022-05-28 02:00:00.000,541
2022-05-28,1,1966,1966.|,@emirxoxo11,[23K],|+541,"(İstanbul, Türkiye)","1966. @emirxoxo11 [23K] ⏫  |+541 (İstanbul, Türkiye) ",@emirxoxo11,|+541,emirxoxo11,1,22809,2022-05-21 02:00:00.000,emirxoxo11,1,23350,2022-05-28 02:00:00.000,541
2022-05-28,1,1967,1967.|,@delgatyclark,[70K],|+541,,1967. @delgatyclark [70K] ⏫  |+541,@delgatyclark,|+541,delgatyclark,1,69558,2022-05-21 02:00:00.000,delgatyclark,1,70099,2022-05-28 02:00:00.000,541
2022-05-28,1,1968,1968.|,@tardivoxxx,[26K],|+539,"(Sao Paulo, Brazil)","1968. @tardivoxxx [26K] ⏫  |+539 (Sao Paulo, Brazil) ",@tardivoxxx,|+539,tardivoxxx,1,25767,2022-05-21 02:00:00.000,tardivoxxx,1,26306,2022-05-28 02:00:00.000,539
2022-05-28,1,1969,1969.|,@pitt1345,[75K],|+538,"(Los Angeles, CA)","1969. @pitt1345 [75K] ⏫  |+538 (Los Angeles, CA) ",@pitt1345,|+538,pitt1345,1,74696,2022-05-21 02:00:00.000,pitt1345,1,75234,2022-05-28 02:00:00.000,538
2022-05-28,1,1970,1970.|,@thisispoyato,[14K],|+538,"(Miami, FL)","1970. @thisispoyato [14K] ⏫  |+538 (Miami, FL) ",@thisispoyato,|+538,thisispoyato,1,13631,2022-05-21 02:00:00.000,thisispoyato,1,14169,2022-05-28 02:00:00.000,538
2022-05-28,1,1971,1971.|,@fantasyonlinex,[28K],|+538,,1971. @fantasyonlinex [28K] ⏫  |+538,@fantasyonlinex,|+538,fantasyonlinex,1,27929,2022-05-21 02:00:00.000,fantasyonlinex,1,28467,2022-05-28 02:00:00.000,538
2022-05-28,1,1972,1972.|,@xxx_morningstar,[52K],|+537,"(Hollywood, Los Angeles)","1972. @xxx_morningstar [52K] ⏫  |+537 (Hollywood, Los Angeles) ",@xxx_morningstar,|+537,xxx_morningstar,1,51144,2022-05-21 02:00:00.000,xxx_morningstar,1,51681,2022-05-28 02:00:00.000,537
2022-05-28,1,1973,1973.|,@bigboybrazil82,[81K],|+537,"(Rio de Janeiro, Brasil)","1973. @bigboybrazil82 [81K] ⏫  |+537 (Rio de Janeiro, Brasil) ",@bigboybrazil82,|+537,bigboybrazil82,1,80549,2022-05-21 02:00:00.000,bigboybrazil82,1,81086,2022-05-28 02:00:00.000,537
2022-05-28,1,1974,1974.|,@braziliangladi1,[87K],|+536,,1974. @braziliangladi1 [87K] ⏫  |+536,@braziliangladi1,|+536,braziliangladi1,1,86485,2022-05-21 02:00:00.000,braziliangladi1,1,87021,2022-05-28 02:00:00.000,536
2022-05-27,0,1975,1975.|,@nobehung69,[14K],|+535,,1975. @nobehung69 [14K] ⏫  |+535,@nobehung69,|+535,nobehung69,1,13141,2022-05-21 02:00:00.000,nobehung69,1,13676,2022-05-27 02:00:00.000,535
2022-05-28,1,1976,1976.|,@urgamertwinky,[104K],|+535,(Republic of the Philippines),1976. @urgamertwinky [104K] ⏫  |+535 (Republic of the Philippines) ,@urgamertwinky,|+535,urgamertwinky,1,103025,2022-05-21 02:00:00.000,urgamertwinky,1,103560,2022-05-28 02:00:00.000,535
2022-05-28,1,1977,1977.|,@bearsorlando,[49K],|+535,,1977. @bearsorlando [49K] ⏫  |+535,@bearsorlando,|+535,bearsorlando,1,48676,2022-05-21 02:00:00.000,bearsorlando,1,49211,2022-05-28 02:00:00.000,535
2022-05-28,1,1978,1978.|,@airon_muscle,[22K],|+534,,1978. @airon_muscle [22K] ⏫  |+534,@airon_muscle,|+534,airon_muscle,1,21586,2022-05-21 02:00:00.000,airon_muscle,1,22120,2022-05-28 02:00:00.000,534
2022-05-28,1,1979,1979.|,@sambrownellxxx,[31K],|+534,(Australia),1979. @sambrownellxxx [31K] ⏫  |+534 (Australia) ,@sambrownellxxx,|+534,sambrownellxxx,1,30797,2022-05-21 02:00:00.000,sambrownellxxx,1,31331,2022-05-28 02:00:00.000,534
2022-05-28,1,1980,1980.|,@seanweissxxx,[18K],|+533,,1980. @seanweissxxx [18K] ⏫  |+533,@seanweissxxx,|+533,seanweissxxx,1,17375,2022-05-21 02:00:00.000,seanweissxxx,1,17908,2022-05-28 02:00:00.000,533
2022-05-28,1,1981,1981.|,@pacochubby,[83K],|+533,"(Metepec, México)","1981. @pacochubby [83K] ⏫  |+533 (Metepec, México) ",@pacochubby,|+533,pacochubby,1,82456,2022-05-21 02:00:00.000,pacochubby,1,82989,2022-05-28 02:00:00.000,533
2022-05-28,1,1982,1982.|,@therealvinroxx,[3K],|+532,"(Gainesville, FL)","1982. @therealvinroxx [3K] ⏫  |+532 (Gainesville, FL) ",@therealvinroxx,|+532,therealvinroxx,1,2334,2022-05-21 02:00:00.000,therealvinroxx,1,2866,2022-05-28 02:00:00.000,532
2022-05-28,1,1983,1983.|,@trentferrisxxx,[200K],|+532,"(Arizona, USA)","1983. @trentferrisxxx [200K] ⏫  |+532 (Arizona, USA) ",@trentferrisxxx,|+532,trentferrisxxx,1,199599,2022-05-21 02:00:00.000,trentferrisxxx,1,200131,2022-05-28 02:00:00.000,532
2022-05-28,1,1984,1984.|,@ximeramusclebtm,[28K],|+531,,1984. @ximeramusclebtm [28K] ⏫  |+531,@ximeramusclebtm,|+531,ximeramusclebtm,1,27614,2022-05-21 02:00:00.000,ximeramusclebtm,1,28145,2022-05-28 02:00:00.000,531
2022-05-28,1,1985,1985.|,@thiagoboss04,[35K],|+531,"(Barcelona, Spanien)","1985. @thiagoboss04 [35K] ⏫  |+531 (Barcelona, Spanien) ",@thiagoboss04,|+531,thiagoboss04,1,34785,2022-05-21 02:00:00.000,thiagoboss04,1,35316,2022-05-28 02:00:00.000,531
2022-05-28,1,1986,1986.|,@beefy_eros,[41K],|+530,"(California, USA)","1986. @beefy_eros [41K] ⏫  |+530 (California, USA) ",@beefy_eros,|+530,beefy_eros,1,40148,2022-05-21 02:00:00.000,beefy_eros,1,40678,2022-05-28 02:00:00.000,530
2022-05-28,1,1987,1987.|,@tantricfitness,[82K],|+530,"(Los Angeles, CA)","1987. @tantricfitness [82K] ⏫  |+530 (Los Angeles, CA) ",@tantricfitness,|+530,tantricfitness,1,81359,2022-05-21 02:00:00.000,tantricfitness,1,81889,2022-05-28 02:00:00.000,530
2022-05-28,1,1988,1988.|,@joelcam2021,[63K],|+529,"(Solihull, England)","1988. @joelcam2021 [63K] ⏫  |+529 (Solihull, England) ",@joelcam2021,|+529,joelcam2021,1,62406,2022-05-21 02:00:00.000,joelcam2021,1,62935,2022-05-28 02:00:00.000,529
2022-05-28,1,1989,1989.|,@naughty_robby_,[125K],|+529,,1989. @naughty_robby_ [125K] ⏫  |+529,@naughty_robby_,|+529,naughty_robby_,1,124917,2022-05-21 02:00:00.000,naughty_robby_,1,125446,2022-05-28 02:00:00.000,529
2022-05-28,1,1990,1990.|,@randomguy2114,[5K],|+528,,1990. @randomguy2114 [5K] ⏫  |+528,@randomguy2114,|+528,randomguy2114,1,4823,2022-05-21 02:00:00.000,randomguy2114,1,5351,2022-05-28 02:00:00.000,528
2022-05-28,1,1991,1991.|,@xjosepholy,[121K],|+528,,1991. @xjosepholy [121K] ⏫  |+528,@xjosepholy,|+528,xjosepholy,1,120803,2022-05-21 02:00:00.000,xjosepholy,1,121331,2022-05-28 02:00:00.000,528
2022-05-28,1,1992,1992.|,@friends_sexcam4,[171K],|+527,(España),1992. @friends_sexcam4 [171K] ⏫  |+527 (España) ,@friends_sexcam4,|+527,friends_sexcam4,1,170878,2022-05-21 02:00:00.000,friends_sexcam4,1,171405,2022-05-28 02:00:00.000,527
2022-05-28,1,1993,1993.|,@fbrcdlmnt,[18K],|+527,"(Palermo, Buenos Aires)","1993. @fbrcdlmnt [18K] ⏫  |+527 (Palermo, Buenos Aires) ",@fbrcdlmnt,|+527,fbrcdlmnt,1,17371,2022-05-21 02:00:00.000,fbrcdlmnt,1,17898,2022-05-28 02:00:00.000,527
2022-05-28,1,1994,1994.|,@beastboar,[16K],|+526,,1994. @beastboar [16K] ⏫  |+526,@beastboar,|+526,beastboar,1,15033,2022-05-21 02:00:00.000,beastboar,1,15559,2022-05-28 02:00:00.000,526
2022-05-28,1,1995,1995.|,@lvpcouple,[12K],|+526,,1995. @lvpcouple [12K] ⏫  |+526,@lvpcouple,|+526,lvpcouple,1,11489,2022-05-21 02:00:00.000,lvpcouple,1,12015,2022-05-28 02:00:00.000,526
2022-05-28,1,1996,1996.|,@julianxxx0,[7K],|+525,,1996. @julianxxx0 [7K] ⏫  |+525,@julianxxx0,|+525,julianxxx0,1,5997,2022-05-21 02:00:00.000,julianxxx0,1,6522,2022-05-28 02:00:00.000,525
2022-05-28,1,1997,1997.|,@versatopfucker,[83K],|+524,"(National Capital Region, Repub)","1997. @versatopfucker [83K] ⏫  |+524 (National Capital Region, Repub) ",@versatopfucker,|+524,versatopfucker,1,82165,2022-05-21 02:00:00.000,versatopfucker,1,82689,2022-05-28 02:00:00.000,524
2022-05-28,1,1998,1998.|,@brenxxx_,[15K],|+524,"(Los Angeles, CA)","1998. @brenxxx_ [15K] ⏫  |+524 (Los Angeles, CA) ",@brenxxx_,|+524,brenxxx_,1,14563,2022-05-21 02:00:00.000,brenxxx_,1,15087,2022-05-28 02:00:00.000,524
2022-05-28,1,1999,1999.|,@mandoleyva,[136K],|+523,"(Las Vegas, NV)","1999. @mandoleyva [136K] ⏫  |+523 (Las Vegas, NV) ",@mandoleyva,|+523,mandoleyva,1,135207,2022-05-21 02:00:00.000,mandoleyva,1,135730,2022-05-28 02:00:00.000,523
2022-05-28,1,2000,2000.|,@serbianxl,[95K],|+522,(World),2000. @serbianxl [95K] ⏫  |+522 (World) ,@serbianxl,|+522,serbianxl,1,94263,2022-05-21 02:00:00.000,serbianxl,1,94785,2022-05-28 02:00:00.000,522
2022-05-28,1,2001,2001.|,@juan_beltrann1,[52K],|+522,"(Santiago, Chile)","2001. @juan_beltrann1 [52K] ⏫  |+522 (Santiago, Chile) ",@juan_beltrann1,|+522,juan_beltrann1,1,51239,2022-05-21 02:00:00.000,juan_beltrann1,1,51761,2022-05-28 02:00:00.000,522
2022-05-28,1,2002,2002.|,@dadypetemasters,[5K],|+522,"(London, UK)","2002. @dadypetemasters [5K] ⏫  |+522 (London, UK) ",@dadypetemasters,|+522,dadypetemasters,1,4801,2022-05-21 02:00:00.000,dadypetemasters,1,5323,2022-05-28 02:00:00.000,522
2022-05-28,1,2003,2003.|,@j_qo12,[129K],|+521,(Somewhere),2003. @j_qo12 [129K] ⏫  |+521 (Somewhere) ,@j_qo12,|+521,j_qo12,1,128562,2022-05-21 02:00:00.000,j_qo12,1,129083,2022-05-28 02:00:00.000,521
2022-05-28,1,2004,2004.|,@boriboyxx,[139K],|+521,"(Charlotte, NC)","2004. @boriboyxx [139K] ⏫  |+521 (Charlotte, NC) ",@boriboyxx,|+521,boriboyxx,1,138459,2022-05-21 02:00:00.000,boriboyxx,1,138980,2022-05-28 02:00:00.000,521
2022-05-28,1,2005,2005.|,@biaoxuezhang,[328K],|+520,(武汉),2005. @biaoxuezhang [328K] ⏫  |+520 (武汉) ,@biaoxuezhang,|+520,biaoxuezhang,1,327206,2022-05-21 02:00:00.000,biaoxuezhang,1,327726,2022-05-28 02:00:00.000,520
2022-05-26,0,2006,2006.|,@geordiejaxxxon,[9K],|+520,"(Manchester, England)","2006. @geordiejaxxxon [9K] ⏫  |+520 (Manchester, England) ",@geordiejaxxxon,|+520,geordiejaxxxon,1,8334,2022-05-21 02:00:00.000,geordiejaxxxon,1,8854,2022-05-26 02:00:00.000,520
2022-05-28,1,2007,2007.|,@kingangeel,[357K],|+519,"(Los Angeles, CA)","2007. @kingangeel [357K] ⏫  |+519 (Los Angeles, CA) ",@kingangeel,|+519,kingangeel,1,356666,2022-05-21 02:00:00.000,kingangeel,1,357185,2022-05-28 02:00:00.000,519
2022-05-28,1,2008,2008.|,@russiandaddyxxl,[78K],|+519,"(Berlin, Germany)","2008. @russiandaddyxxl [78K] ⏫  |+519 (Berlin, Germany) ",@russiandaddyxxl,|+519,russiandaddyxxl,1,77325,2022-05-21 02:00:00.000,russiandaddyxxl,1,77844,2022-05-28 02:00:00.000,519
2022-05-28,1,2009,2009.|,@colbyknoxxx1,[55K],|+518,(East Coast),2009. @colbyknoxxx1 [55K] ⏫  |+518 (East Coast) ,@colbyknoxxx1,|+518,colbyknoxxx1,1,54337,2022-05-21 02:00:00.000,colbyknoxxx1,1,54855,2022-05-28 02:00:00.000,518
2022-05-28,1,2010,2010.|,@realfreakshittx,[170K],|+518,(Se Houston Hobby Airport),2010. @realfreakshittx [170K] ⏫  |+518 (Se Houston Hobby Airport) ,@realfreakshittx,|+518,realfreakshittx,1,169469,2022-05-21 02:00:00.000,realfreakshittx,1,169987,2022-05-28 02:00:00.000,518
2022-05-28,1,2011,2011.|,@alostboy_rufio,[86K],|+517,"(Houston, TX)","2011. @alostboy_rufio [86K] ⏫  |+517 (Houston, TX) ",@alostboy_rufio,|+517,alostboy_rufio,1,85651,2022-05-21 02:00:00.000,alostboy_rufio,1,86168,2022-05-28 02:00:00.000,517
2022-05-28,1,2012,2012.|,@thecarterwoods,[39K],|+517,"(California, USA)","2012. @thecarterwoods [39K] ⏫  |+517 (California, USA) ",@thecarterwoods,|+517,thecarterwoods,1,38254,2022-05-21 02:00:00.000,thecarterwoods,1,38771,2022-05-28 02:00:00.000,517
2022-05-28,1,2013,2013.|,@hzcumsqueezer,[25K],|+517,(杭州，农找牛(更喜高个、肌肉、薄肌)),2013. @hzcumsqueezer [25K] ⏫  |+517 (杭州，农找牛(更喜高个、肌肉、薄肌)) ,@hzcumsqueezer,|+517,hzcumsqueezer,1,24385,2022-05-21 02:00:00.000,hzcumsqueezer,1,24902,2022-05-28 02:00:00.000,517
