no_,tw_id,tw_username,text,url,retweet_count,is_retweet,text_1,tweet_created_date
1,1255371483746054145,zenotiger_x,@zenotiger_x - more than 🔁 8K Retweets on one tweet:,https://twitter.com/zenotiger_x/status/1529055036579651585,8296,false,มาออกกำลังกายกันหน่อย https://t.co/uzRdtv3RM0 https://t.co/kNnPGiXbZM,2022-05-24T11:01:43Z
2,1086751543666360321,tim_onlyfans,@tim_onlyfans - more than 🔁 7K Retweets on one tweet:,https://twitter.com/tim_onlyfans/status/1529583239463063553,7098,false,I came deep inside him…  @_Disco_Dick  Full video on onlyfans https://t.co/9MMUiE6zI0,2022-05-25T22:00:37Z
3,1056321211997646848,jakipz,@jakipz - more than 🔁 5K Retweets on one tweet:,https://twitter.com/jakipz/status/1528112936665100289,4591,false,Let daddy take good care of you ���� https://t.co/aIrzpyUgee https://t.co/xU67Cg6Z9U,2022-05-21T20:38:09Z
4,1121572167911477248,kaixmatty,@kaixmatty - more than 🔁 3K Retweets on one tweet:,https://twitter.com/kaixmatty/status/1527831613010104328,3352,false,cumming like this feels so good ���� https://t.co/MJQesnI2og,2022-05-21T02:00:16Z
5,1087877149946724352,carlitos17bcn,@carlitos17bcn - more than 🔁 3K Retweets on one tweet:,https://twitter.com/carlitos17bcn/status/1529456093939769344,3069,false,Retweet if you want to suck my cock on your knees ��  https://t.co/WiGKQvURPO for more ���� https://t.co/R8sqSbrYDQ,2022-05-25T13:35:23Z
6,1322028494973489153,tattedtommy1,@tattedtommy1 - more than 🔁 3K Retweets on one tweet:,https://twitter.com/tattedtommy1/status/1529680375630512129,2732,false,Heavy load https://t.co/38aIqhPTuB,2022-05-26T04:26:36Z
7,1372003391627493378,_leonmike17,@_leonmike17 - more than 🔁 2K Retweets on one tweet:,https://twitter.com/_leonmike17/status/1529537458492391425,2445,false,ROUGH HOTEL NIGHT �� https://t.co/JTok6qOrTq,2022-05-25T18:58:42Z
8,1115975510285275136,themasonblaze,@themasonblaze - more than 🔁 2K Retweets on one tweet:,https://twitter.com/themasonblaze/status/1530363979956199424,2345,false,Omg �� demasiado larga y gruesa  Full video https://t.co/PXZ9DF45lh https://t.co/xZ1UAnRyOd,2022-05-28T01:43:00Z
9,972152497719644160,avcaal,@avcaal - more than 🔁 2K Retweets on one tweet:,https://twitter.com/avcaal/status/1529120192042770432,2282,false,Retweet if you would be down to get this ������  https://t.co/VVAFgIJlWZ https://t.co/3VDy9bMv28,2022-05-24T15:20:38Z
10,2548785685,lanevrogers,@lanevrogers - more than 🔁 2K Retweets on one tweet:,https://twitter.com/lanevrogers/status/1528005592148754432,2266,false,Good morning https://t.co/IGgPvrYXM6,2022-05-21T13:31:36Z
11,1471520036426637312,jacobsexyboyy,@jacobsexyboyy - more than 🔁 2K Retweets on one tweet:,https://twitter.com/jacobsexyboyy/status/1528778989095030789,2221,false,I fucked her brother while my friend was in the room  https://t.co/8NUdxEpWNU https://t.co/8NUdxEpWNU https://t.co/T7HMIoGcCS,2022-05-23T16:44:48Z
12,1394059213673046017,alexbelmont96,@alexbelmont96 - more than 🔁 2K Retweets on one tweet:,https://twitter.com/alexbelmont96/status/1529644263427805184,2192,false,Video completo en https://t.co/MCjRnYH7Ee https://t.co/59uETqXGG9,2022-05-26T02:03:06Z
13,1169262104576188416,danielmonterre6,@danielmonterre6 - more than 🔁 2K Retweets on one tweet:,https://twitter.com/danielmonterre6/status/1529443737515991041,2164,false,Me conseguí 2 culitos abiertitos en el centro… junto con otro compa para llenarlos de mecos y batirlos uno al otro �� quien se nos une?�� video +45 MIN https://t.co/0Q2ueLTUXI solo $70PESOS /3dlls . @EncuentroGayMty https://t.co/GOYf0MyxDy,2022-05-25T12:46:17Z
14,1140993635208638465,gamer_fit_bi,@gamer_fit_bi - more than 🔁 2K Retweets on one tweet:,https://twitter.com/gamer_fit_bi/status/1529830063172202499,2137,false,"Que rico le entra toda mi Verga morena a @Daanieldelar2, tremendo culon rosado y aguantador, lo llene de leche 2 veces ese día. https://t.co/8FHpRjsRuM",2022-05-26T14:21:24Z
